geo,name,time,Pirate attacks on boats
dza,Algeria,2012,1
dza,Algeria,2013,0
dza,Algeria,2014,0
dza,Algeria,2015,0
dza,Algeria,2016,0
dza,Algeria,2017,0
dza,Algeria,2018,0
dza,Algeria,2019,1
ago,Angola,2011,1
ago,Angola,2012,0
ago,Angola,2013,0
ago,Angola,2014,1
ago,Angola,2015,0
ago,Angola,2016,0
ago,Angola,2017,1
ago,Angola,2018,0
ago,Angola,2019,0
ago,Angola,2020,6
ago,Angola,2021,4
ago,Angola,2022,5
ago,Angola,2023,3
bgd,Bangladesh,2010,23
bgd,Bangladesh,2011,10
bgd,Bangladesh,2012,11
bgd,Bangladesh,2013,12
bgd,Bangladesh,2014,21
bgd,Bangladesh,2015,11
bgd,Bangladesh,2016,0
bgd,Bangladesh,2017,11
bgd,Bangladesh,2018,12
bgd,Bangladesh,2019,0
bgd,Bangladesh,2020,4
bgd,Bangladesh,2021,0
bgd,Bangladesh,2022,7
bgd,Bangladesh,2023,1
ben,Benin,2011,20
ben,Benin,2012,2
ben,Benin,2013,0
ben,Benin,2014,0
ben,Benin,2015,0
ben,Benin,2016,0
ben,Benin,2017,0
ben,Benin,2018,5
ben,Benin,2019,3
ben,Benin,2020,11
ben,Benin,2021,2
bra,Brazil,2010,9
bra,Brazil,2011,3
bra,Brazil,2012,1
bra,Brazil,2013,1
bra,Brazil,2014,1
bra,Brazil,2015,0
bra,Brazil,2016,0
bra,Brazil,2017,0
bra,Brazil,2018,4
bra,Brazil,2019,2
bra,Brazil,2020,7
bra,Brazil,2021,3
bra,Brazil,2022,5
bra,Brazil,2023,1
cmr,Cameroon,2010,5
cmr,Cameroon,2011,0
cmr,Cameroon,2012,1
cmr,Cameroon,2013,0
cmr,Cameroon,2014,1
cmr,Cameroon,2015,1
cmr,Cameroon,2016,0
cmr,Cameroon,2017,0
cmr,Cameroon,2018,7
cmr,Cameroon,2019,6
cmr,Cameroon,2020,0
cmr,Cameroon,2021,1
cmr,Cameroon,2022,0
cmr,Cameroon,2023,3
chn,China,2010,1
chn,China,2011,2
chn,China,2012,1
chn,China,2013,0
chn,China,2014,0
chn,China,2015,4
chn,China,2016,0
chn,China,2017,2
chn,China,2018,3
chn,China,2019,3
col,Colombia,2010,3
col,Colombia,2011,4
col,Colombia,2012,5
col,Colombia,2013,7
col,Colombia,2014,2
col,Colombia,2015,5
col,Colombia,2016,0
col,Colombia,2017,6
col,Colombia,2018,1
col,Colombia,2019,3
col,Colombia,2020,1
col,Colombia,2021,6
col,Colombia,2022,0
col,Colombia,2023,2
cod,"Congo, Dem. Rep.",2010,3
cod,"Congo, Dem. Rep.",2011,4
cod,"Congo, Dem. Rep.",2012,2
cod,"Congo, Dem. Rep.",2013,0
cod,"Congo, Dem. Rep.",2014,1
cod,"Congo, Dem. Rep.",2015,3
cod,"Congo, Dem. Rep.",2016,0
cod,"Congo, Dem. Rep.",2017,0
cod,"Congo, Dem. Rep.",2018,1
cod,"Congo, Dem. Rep.",2019,1
cod,"Congo, Dem. Rep.",2020,0
cod,"Congo, Dem. Rep.",2021,1
cod,"Congo, Dem. Rep.",2022,1
cog,"Congo, Rep.",2010,1
cog,"Congo, Rep.",2011,3
cog,"Congo, Rep.",2012,4
cog,"Congo, Rep.",2013,3
cog,"Congo, Rep.",2014,7
cog,"Congo, Rep.",2015,5
cog,"Congo, Rep.",2016,0
cog,"Congo, Rep.",2017,1
cog,"Congo, Rep.",2018,6
cog,"Congo, Rep.",2019,3
cog,"Congo, Rep.",2020,3
cog,"Congo, Rep.",2021,1
cog,"Congo, Rep.",2022,0
cog,"Congo, Rep.",2023,1
cri,Costa Rica,2010,1
cri,Costa Rica,2011,3
cri,Costa Rica,2012,1
civ,Cote d'Ivoire,2010,4
civ,Cote d'Ivoire,2011,1
civ,Cote d'Ivoire,2012,5
civ,Cote d'Ivoire,2013,4
civ,Cote d'Ivoire,2014,3
civ,Cote d'Ivoire,2015,1
civ,Cote d'Ivoire,2016,0
civ,Cote d'Ivoire,2017,1
civ,Cote d'Ivoire,2018,1
civ,Cote d'Ivoire,2019,1
civ,Cote d'Ivoire,2020,3
civ,Cote d'Ivoire,2021,0
civ,Cote d'Ivoire,2022,2
civ,Cote d'Ivoire,2023,2
dom,Dominican Republic,2012,1
dom,Dominican Republic,2013,1
dom,Dominican Republic,2014,0
dom,Dominican Republic,2015,0
dom,Dominican Republic,2016,0
dom,Dominican Republic,2017,0
dom,Dominican Republic,2018,0
dom,Dominican Republic,2019,1
ecu,Ecuador,2010,3
ecu,Ecuador,2011,6
ecu,Ecuador,2012,4
ecu,Ecuador,2013,3
ecu,Ecuador,2014,0
ecu,Ecuador,2015,0
ecu,Ecuador,2016,0
ecu,Ecuador,2017,2
ecu,Ecuador,2018,4
ecu,Ecuador,2019,3
ecu,Ecuador,2020,5
ecu,Ecuador,2021,4
ecu,Ecuador,2022,0
ecu,Ecuador,2023,1
egy,Egypt,2010,2
egy,Egypt,2011,3
egy,Egypt,2012,7
